#Meteorological data for Loobos (from PALS), 1997-.
#1 years of 30 minute data.
#    Down  Down      Rainfall      Snowfall     Air       Wind                 Specific
#    SWR   LWR        rate           rate      temp.      speed     Pressure   humidity
# (W m-2) (W m-2)  (kg m-2 s-1) (kg m-2 s-1)   (K)       (m s-1) )   (Pa)      (kg kg-1)
    0.0  247.8     0.000e+00     0.000e+00   267.730     2.254     101002.4   2.288e-03
    0.0  247.9     0.000e+00     0.000e+00   267.770     2.237     101002.4   2.295e-03
    0.0  248.0     0.000e+00     0.000e+00   267.780     2.220     101002.4   2.309e-03
    0.0  248.1     0.000e+00     0.000e+00   267.780     2.206     101002.4   2.322e-03
    0.0  248.0     0.000e+00     0.000e+00   267.750     2.190     101002.4   2.324e-03
    0.0  247.9     0.000e+00     0.000e+00   267.700     2.176     101002.3   2.315e-03
    0.0  248.0     0.000e+00     0.000e+00   267.770     2.168     101002.4   2.307e-03
    0.0  247.7     0.000e+00     0.000e+00   267.700     2.158     101002.3   2.282e-03
    0.0  247.0     0.000e+00     0.000e+00   267.540     2.151     101002.1   2.242e-03
    0.0  246.8     0.000e+00     0.000e+00   267.520     2.146     101002.1   2.216e-03
    0.0  246.6     0.000e+00     0.000e+00   267.460     2.141     101002.0   2.204e-03
    0.0  246.3     0.000e+00     0.000e+00   267.360     2.138     101001.9   2.207e-03
    0.8  246.7     0.000e+00     0.000e+00   267.420     2.127     101002.0   2.234e-03
    6.1  246.5     0.000e+00     0.000e+00   267.400     2.119     101002.0   2.216e-03
   15.1  245.8     0.000e+00     0.000e+00   267.230     2.126     101001.8   2.173e-03
   35.6  245.4     0.000e+00     0.000e+00   267.160     2.202     101001.7   2.132e-03
   54.0  245.6     0.000e+00     0.000e+00   267.240     2.180     101001.8   2.123e-03
   68.4  245.6     0.000e+00     0.000e+00   267.300     2.189     101001.8   2.101e-03
   63.2  245.8     0.000e+00     0.000e+00   267.390     2.136     101002.0   2.099e-03
   69.9  246.2     0.000e+00     0.000e+00   267.530     2.086     101002.1   2.106e-03
   66.5  246.7     0.000e+00     0.000e+00   267.710     2.061     101002.3   2.113e-03
   71.2  247.5     0.000e+00     0.000e+00   267.930     2.048     101002.6   2.139e-03
   70.5  247.7     0.000e+00     0.000e+00   268.030     2.014     101002.7   2.137e-03
   42.8  248.4     0.000e+00     0.000e+00   268.210     1.981     101002.9   2.174e-03
   30.0  248.5     0.000e+00     0.000e+00   268.240     1.961     101003.0   2.169e-03
   27.3  248.6     0.000e+00     0.000e+00   268.310     1.888     101003.1   2.170e-03
   13.5  248.6     0.000e+00     0.000e+00   268.310     2.077     101003.1   2.159e-03
    6.6  248.8     0.000e+00     0.000e+00   268.360     2.073     101003.1   2.181e-03
    0.2  249.1     0.000e+00     0.000e+00   268.430     2.069     101003.2   2.192e-03
    0.0  249.2     0.000e+00     0.000e+00   268.470     2.065     101003.2   2.191e-03
    0.0  249.4     0.000e+00     0.000e+00   268.530     2.064     101003.3   2.193e-03
    0.0  250.0     0.000e+00     0.000e+00   268.740     2.068     101003.6   2.212e-03
    0.0  250.7     0.000e+00     0.000e+00   269.000     2.047     101003.9   2.203e-03
    0.0  251.2     0.000e+00     0.000e+00   269.170     2.002     101004.1   2.223e-03
    0.0  251.5     0.000e+00     0.000e+00   269.290     1.966     101004.2   2.224e-03
    0.0  251.6     0.000e+00     0.000e+00   269.330     1.925     101004.3   2.213e-03
    0.0  251.7     0.000e+00     0.000e+00   269.370     1.888     101004.3   2.217e-03
    0.0  251.6     0.000e+00     0.000e+00   269.380     1.888     101004.3   2.193e-03
    0.0  250.5     0.000e+00     0.000e+00   269.100     2.016     101004.0   2.128e-03
    0.0  250.0     0.000e+00     0.000e+00   268.890     2.058     101003.8   2.133e-03
    0.0  250.0     0.000e+00     0.000e+00   268.870     2.058     101003.7   2.149e-03
    0.0  249.8     0.000e+00     0.000e+00   268.800     2.063     101003.6   2.137e-03
    0.0  249.3     0.000e+00     0.000e+00   268.790     2.067     101003.6   2.064e-03
    0.0  248.4     0.000e+00     0.000e+00   268.630     2.070     101003.4   1.969e-03
    0.0  247.2     0.000e+00     0.000e+00   268.370     2.083     101003.1   1.888e-03
    0.0  247.6     0.000e+00     0.000e+00   268.460     2.074     101003.2   1.907e-03
    0.0  247.9     0.000e+00     0.000e+00   268.550     2.077     101003.3   1.928e-03
    0.0  247.9     0.000e+00     0.000e+00   268.510     2.080     101003.3   1.935e-03
    0.0  247.3     0.000e+00     0.000e+00   268.380     2.089     101003.1   1.903e-03
    0.0  246.9     0.000e+00     0.000e+00   268.250     2.095     101003.0   1.895e-03
    0.0  247.1     0.000e+00     0.000e+00   268.220     2.099     101003.0   1.943e-03
    0.0  246.8     0.000e+00     0.000e+00   268.070     2.105     101002.8   1.957e-03
    0.0  245.8     0.000e+00     0.000e+00   267.730     2.121     101002.4   1.930e-03
    0.0  244.8     0.000e+00     0.000e+00   267.340     2.127     101001.9   1.941e-03
    0.0  244.6     0.000e+00     0.000e+00   267.100     2.147     101001.6   2.021e-03
    0.0  245.6     0.000e+00     0.000e+00   267.280     2.149     101001.8   2.115e-03
